ID,Date,Rotation Range,Width Shift Range,Height Shift Range,Shear Range,Zoom Range,Horizontal Flip,Vertical Flip
29044dd2-3aa1-4872-bd4a-7fb7d02b5f1c,2023-12-03_23:31,20,0.2,0.2,0.2,0.2,True,True
715ae022-39a7-4c4a-8885-1c15c4a49c69,2023-12-04_00:19,20,0.2,0.2,0.2,0.2,True,True
afa920f0-d847-4308-8e5d-ee242e8d1b61,2023-12-07_00:21,20,0.2,0.2,0.2,0.2,True,True
bc3f89c9-9017-4006-90f2-55628f6f86f9,2023-12-07_00:38,20,0.2,0.2,0.2,0.2,True,True
8476701f-e7e2-42bf-898e-c3efc8b683af,2023-12-07_00:46,20,0.2,0.2,0.2,0.2,True,True
0eec0cf2-ac60-4b08-b04e-9e95bfdfbcd2,2023-12-07_01:09,20,0.2,0.2,0.2,0.2,True,True
7c7e5c83-6692-4abf-84e0-b97749b45153,2023-12-07_01:24,20,0.2,0.2,0.2,0.2,True,True
8da58238-423e-4ce2-9398-bb92aa723cfa,2023-12-07_01:30,20,0.2,0.2,0.2,0.2,True,True
434d0a7c-555a-495b-ab05-4fd766c7d034,2023-12-07_01:33,20,0.2,0.2,0.2,0.2,True,True
094c923e-974e-4eed-9ba8-0b40f8320fe4,2023-12-07_01:50,20,0.2,0.2,0.2,0.2,True,True
ad121696-d36c-4718-bfff-a441be1795b3,2023-12-07_01:54,20,0.2,0.2,0.2,0.2,True,True
0a1a4a08-b8e2-41f2-aae3-e6e857f6e731,2023-12-07_01:59,20,0.2,0.2,0.2,0.2,True,True
9e9459b9-6f1b-4e4c-a355-d07a22f6147c,2023-12-07_19:12,20,0.2,0.2,0.2,0.2,True,True
48ef1878-290a-4bdb-9477-50bd4efa2bfa,2023-12-07_19:12,20,0.2,0.2,0.2,0.2,True,True
89363731-743c-4907-ac89-97b365d85ecc,2023-12-07_19:16,20,0.2,0.2,0.2,0.2,True,True
e3e1c916-3f47-4b07-98ee-4482ff562eee,2023-12-07_19:49,20,0.2,0.2,0.2,0.2,True,True
f2d6ce63-59a3-4356-82bb-7a7b53d2e6c6,2023-12-07_21:00,20,0.2,0.2,0.2,0.2,True,True
1f962e57-bcb3-4fe8-8a22-55633480c951,2023-12-07_21:37,20,0.2,0.2,0.2,0.2,True,True
e141cb7e-c8b6-43bc-835f-3498830c8666,2023-12-07_22:05,20,0.2,0.2,0.2,0.2,True,True
2a7fba64-1c56-496e-9ddd-ba9efd7416ae,2023-12-07_22:11,20,0.2,0.2,0.2,0.2,True,True
c3ef9849-9e7e-47d9-9dda-d5b5e4e107b8,2023-12-08_00:02,20,0.2,0.2,0.2,0.2,True,True
97a90d16-5e6e-42fd-8b2e-2fe9bb1e153b,2023-12-08_00:55,20,0.2,0.2,0.2,0.2,True,True
ea76f4e5-9e04-4cac-ab05-925b29133854,2023-12-08_01:09,20,0.2,0.2,0.2,0.2,True,True
36db1b5b-87d6-493a-9b09-a8029b8e040f,2023-12-08_02:41,20,0.2,0.2,0.2,0.2,True,True
769ab535-85c9-43b4-9f12-c7e8dd7c204a,2024-02-16_19:54,20,0.2,0.2,0.2,0.2,True,True
7cf6e977-5bee-4e32-86e9-a0f679ccbfe0,2024-02-17_01:52,20,0.2,0.2,0.2,0.2,True,True
00a88e19-f7c3-4f92-bbdb-e4cdee40ae32,2024-02-17_06:03,20,0.2,0.2,0.2,0.2,True,True
194b86ba-f4c5-4a7d-ae22-3b56917e3fc8,2024-02-17_17:31,20,0.2,0.2,0.2,0.2,True,True
4c8d2926-0410-408a-8b7e-2f930f1216a9,2024-02-18_02:06,20,0.2,0.2,0.2,0.2,True,True
3fdc1ce5-ddff-47ae-b427-da8812399f2a,2024-02-18_06:20,20,0.2,0.2,0.2,0.2,True,True
c1209890-49c8-479c-b771-031b2e0183fe,2024-02-18_19:45,20,0.2,0.2,0.2,0.2,True,True
9667a8f1-ef56-44c8-ab4f-bdb708b5468a,2024-02-19_14:12,20,0.2,0.2,0.2,0.2,True,True
295dd17c-1452-463b-b208-55a977c97c77,2024-02-19_23:23,20,0.2,0.2,0.2,0.2,True,True
e4132bc8-2742-4711-885a-5228cc96df61,2024-02-20_16:48,20,0.2,0.2,0.2,0.2,True,True
e137bfe5-c126-45ee-9bda-e7f376de407c,2024-02-21_01:40,20,0.2,0.2,0.2,0.2,True,True
a2a2816f-54ef-4112-a3d4-5bbb998b56b6,2024-02-21_10:43,20,0.2,0.2,0.2,0.2,True,True
78dcbf0a-6602-4f1e-aba2-b01dfe0c6b2b,2024-02-21_13:58,20,0.2,0.2,0.2,0.2,True,True
df6ca44f-d4d7-483a-8f31-540c0569ca40,2024-02-21_19:21,30,0.3,0.2,0.3,0.3,True,True
2bf80883-0e36-42fe-8e29-56163669b299,2024-02-21_22:40,20,0.2,0.2,0.2,0.2,True,False
b7e2d344-ce54-4ee3-b6c4-db122ef5d5a8,2024-02-22_06:46,25,0.23,0.23,0.2,0.23,True,False
ba64f8c0-d1e2-49ee-b12b-7c1a9938fea6,2024-02-22_11:30,27,0.25,0.25,0.22,0.24,True,False
63ee6f0f-fbb0-476a-b8ab-7626334bdd41,2024-02-23_04:26,25,0.23,0.23,0.2,0.23,False,False
